n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,re_prior,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
10000,10000,1000,FALSE,1,0.001,1,1000,1,7,mmbeddings,3.5847,1.45776,0.472708,0.659703,0.271189,0.294209,0.741622,3.60356,,0.371366,,,201,20.8641,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,8,mmbeddings,2.6784,1.27795,0.499692,0.563897,0.332414,0.231266,0.797624,2.85892,,0.398506,,,340,28.7142,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,9,mmbeddings,3.30582,1.4047,0.497922,0.621479,0.249366,0.267351,0.715996,3.27899,,0.518474,,,216,20.0362,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,10,mmbeddings,3.25006,1.40013,0.337464,0.655096,0.212167,0.280654,0.69717,3.27428,,0.352625,,,260,21.6184,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,11,mmbeddings,3.47616,1.43839,0.4352,0.644427,0.253246,0.272745,0.646432,3.61225,,0.419766,,,184,17.6249,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,12,mmbeddings,2.78903,1.2838,0.47006,0.520328,0.27326,0.211571,0.706404,2.84425,,0.570471,,,159,20.0299,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,13,mmbeddings,3.1078,1.36504,0.55833,0.575718,0.378427,0.242795,0.814848,3.11542,,0.514016,,,197,18.3289,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,14,mmbeddings,3.92019,1.50042,0.473233,0.603109,0.310466,0.237557,0.804354,4.0325,,0.525899,,,208,20.2238,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,15,mmbeddings,3.82593,1.50099,0.292629,0.631519,0.188657,0.270545,0.715286,3.92335,,0.393964,,,232,24.2085,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,16,mmbeddings,3.10592,1.36839,0.438037,0.617609,0.212417,0.274067,0.560096,3.13097,,0.445021,,,257,20.8739,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,17,mmbeddings,3.2994,1.41721,0.401648,0.543918,0.219493,0.17577,0.60444,4.0444,,0.739971,,,303,22.6072,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,18,mmbeddings,3.42214,1.43519,0.465963,0.616878,0.294778,0.286363,0.650406,3.4977,,0.623608,,,266,22.1861,13651,"[100, 100]","[10, 10]",10
10000,10000,1000,FALSE,1,0.001,1,1000,1,19,mmbeddings,3.57344,1.45963,0.447733,0.562494,0.254192,0.248325,0.752952,3.76565,,0.592147,,,204,23.3937,13651,"[100, 100]","[10, 10]",10
