n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,auc,logloss,accuracy,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
1000,100000,100,FALSE,1,0.001,1,100,4,mean-encoding,0.719779,0.619601,0.66558,,,,,,,,,,84,5.54612,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,embeddings,0.812727,0.533264,0.73618,0.907921,0.156753,0.442269,0.6404,,,0.0139111,,,35,6.19689,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,embeddings-l2,0.800189,0.544601,0.72482,0.988053,0.120373,0.481303,0.6,,,0.000292397,,,69,6.41499,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,hashing,0.817023,0.526725,0.73522,,,,,,,,,,41,6.28527,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,regbeddings,0.719868,0.615705,0.66108,0.908542,0.151128,0.442571,0.6312,,,0.0141893,,,56,7.75985,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,tabtransformer,0.764611,0.584545,0.69477,,,,,,,,,,14,10.0833,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,4,mmbeddings,0.804178,0.597231,0.72289,0.544292,0.116608,0.265137,0.6536,0.808555,,0.464708,,,147,13.7375,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,ignore,0.627231,0.675466,0.59155,,,,,,,,,,75,7.92028,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,mean-encoding,0.648337,0.663723,0.60676,,,,,,,,,,44,5.27902,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,embeddings,0.859994,0.485544,0.77403,0.922337,0.241377,0.484957,0.792,,,0.0156152,,,32,5.00229,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,embeddings-l2,0.858768,0.481998,0.77472,0.990479,0.235349,0.520785,0.7812,,,0.000261558,,,92,7.69512,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,hashing,0.866587,0.467429,0.78127,,,,,,,,,,50,5.97331,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,regbeddings,0.679143,0.642789,0.63001,0.919171,0.238601,0.483292,0.8188,,,0.0181016,,,44,9.56349,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,tabtransformer,0.851275,0.503135,0.76023,,,,,,,,,,24,15.3701,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,5,mmbeddings,0.862254,0.479098,0.77756,0.606304,0.208778,0.318789,0.844,0.858872,,0.578491,,,75,13.9466,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,ignore,0.672888,0.659662,0.62752,,,,,,,,,,56,5.90283,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,mean-encoding,0.71039,0.625587,0.65654,,,,,,,,,,40,5.28778,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,embeddings,0.851113,0.505827,0.77603,0.933593,0.326914,0.524074,0.5792,,,0.0132005,,,35,5.05055,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,embeddings-l2,0.848681,0.525549,0.76858,0.99095,0.308241,0.556272,0.5672,,,0.000262763,,,112,12.9135,1331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,hashing,0.850657,0.493126,0.77158,,,,,,,,,,34,5.84797,10471,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,regbeddings,0.704437,0.632368,0.64948,0.922934,0.24132,0.518091,0.66,,,0.0176925,,,45,6.8063,2331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,tabtransformer,0.828794,0.531777,0.73733,,,,,,,,,,12,12.148,8687,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,6,mmbeddings,0.860257,0.50848,0.78588,0.629217,0.328537,0.353212,0.738,0.859953,,0.480266,,,89,14.5861,13651,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,ignore,0.676942,0.647909,0.63182,,,,,,,,,,44,5.49265,231,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,mean-encoding,0.678363,0.665457,0.63141,,,,,,,,,,130,7.18596,331,"[100, 100]","[10, 10]",10
1000,100000,100,FALSE,1,0.001,1,100,7,embeddings,0.817557,0.58099,0.74766,0.915845,0.126559,0.436675,0.6788,,,0.0216929,,,58,8.65616,1331,"[100, 100]","[10, 10]",10
