experiment,batch_size,beta_vae,d,re_sig2b_prior,n_neurons_encoder,n_neurons_decoder,patience,exp_type,auc,logloss,accuracy,sigma_b0_est,sigma_b1_est,auc_pre_post,n_epoch,time,n_params
0,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.647367,2.11138,0.604,,,,13,42.8277,1204884
0,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.699,0.638931,0.6495,0.242576,0.0961986,0.62892,22,191.633,5481
1,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.648686,2.17201,0.6007,,,,13,34.2793,1204884
1,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.695493,0.641601,0.6478,0.242715,0.0960074,0.627472,29,348.435,5481
2,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.64515,2.21112,0.60205,,,,13,42.457,1204884
2,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.702076,0.632558,0.65115,0.244805,0.0980202,0.630535,18,219.69,5481
3,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.64605,2.22631,0.6011,,,,13,43.1089,1204884
3,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.700259,0.636384,0.6437,0.246245,0.0974028,0.624162,22,349.918,5481
4,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.657344,2.14529,0.60665,,,,14,43.191,1204884
4,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.697103,0.639304,0.65115,0.244841,0.097157,0.618605,37,348.656,5481
5,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.653744,2.11532,0.60435,,,,13,33.0623,1204884
5,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.691769,0.642028,0.6459,0.243892,0.0971925,0.619463,34,329.571,5481
6,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.637697,2.25396,0.5969,,,,13,33.7377,1204884
6,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.693123,0.639465,0.6481,0.244787,0.0979804,0.612078,62,426.654,5481
7,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.650898,2.24097,0.6046,,,,13,32.2908,1204884
7,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.703562,0.632443,0.65305,0.242584,0.0977914,0.64503,40,361.893,5481
8,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.648373,2.17309,0.60165,,,,13,42.4555,1204884
8,1000,0.1,10,0.5,[100],"[10, 10]",10,mmcf,0.694467,0.641201,0.6453,0.243417,0.0968228,0.608979,26,232.902,5481
9,1000,0.1,10,0.5,[100],"[10, 10]",10,ncf,0.650867,2.22245,0.607,,,,14,42.4455,1204884
