n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,sig2b1,sig2b2,q0,q1,q2,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,sig2b_est1,sig2b_est2,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,4,tabtransformer,18.7273,3.43605,0.0023744,,,,,,,,,,,,19,74.6556,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,4,unified,11.0458,2.61777,0.411574,,,,,,,,,,,,45,109.373,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,ignore,13.7955,2.93452,0.376206,,,,,,,,,,,,476,41.8987,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,mean-encoding,13.9022,2.94479,0.371381,,,,,,,,,,,,264,26.7875,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,embeddings,11.9313,2.7253,0.4605,0.947696,0.158122,0.370609,0.57687,,,0.0090678,0.00719946,0.00714547,,,46,11.0054,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,hashing,14.1309,2.97125,0.361042,,,,,,,,,,,,39,106.517,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,regbeddings,12.4387,2.78316,0.437557,0.840203,0.160145,0.328586,0.574588,,,0.116046,0.0647308,0.0736621,,,153,84.8023,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,tabtransformer,21.1068,3.64948,0.0456099,,,,,,,,,,,,20,75.3154,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,5,unified,12.3672,2.77167,0.440791,,,,,,,,,,,,41,143.787,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,ignore,13.2865,2.8743,0.392281,,,,,,,,,,,,374,42.3989,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,mean-encoding,13.3391,2.8787,0.389876,,,,,,,,,,,,384,43.3999,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,embeddings,12.2521,2.75007,0.439595,0.945871,0.154199,0.365764,0.58365,,,0.00722798,0.0074052,0.00693987,,,41,11.851,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,hashing,13.6376,2.91683,0.376224,,,,,,,,,,,,45,128.912,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,regbeddings,12.5709,2.7986,0.425012,0.844821,0.157267,0.326602,0.591556,,,0.0642297,0.0889925,0.0501095,,,139,57.3383,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,tabtransformer,18.8556,3.43765,0.137556,,,,,,,,,,,,19,89.5207,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,6,unified,12.6333,2.79119,0.42216,,,,,,,,,,,,41,96.8449,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,ignore,15.1268,3.06118,0.357458,,,,,,,,,,,,346,27.4362,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,mean-encoding,15.1596,3.06525,0.356067,,,,,,,,,,,,312,30.2044,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,embeddings,13.664,2.91001,0.419596,0.943758,0.157426,0.337462,0.611788,,,0.00885979,0.00827125,0.0114462,,,43,11.6858,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,hashing,15.5389,3.11204,0.339953,,,,,,,,,,,,42,145.968,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,regbeddings,14.2019,2.97222,0.396744,0.840236,0.168848,0.300512,0.645677,,,0.0790144,0.0681575,0.0991022,,,158,85.0306,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,tabtransformer,23.5642,3.85588,-0.000935137,,,,,,,,,,,,20,88.3143,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,7,unified,14.3388,2.98054,0.39093,,,,,,,,,,,,41,143.544,10486291,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,ignore,9.85571,2.46378,0.465699,,,,,,,,,,,,894,82.8618,231,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,mean-encoding,10.0285,2.4857,0.456332,,,,,,,,,,,,318,30.3642,531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,embeddings,11.0271,2.61185,0.402195,0.94609,0.0694933,0.35014,0.547046,,,0.00622651,0.00628164,0.00607178,,,38,9.86785,300531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,hashing,10.689,2.5755,0.420524,,,,,,,,,,,,58,204.568,30951,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,regbeddings,10.3342,2.5251,0.439761,0.911703,0.0899523,0.337386,0.571332,,,0.0148151,0.0197865,0.0138265,,,110,44.9558,600531,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,tabtransformer,17.5148,3.32069,0.0504843,,,,,,,,,,,,19,75.1951,306829,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.1,1,1,1,10000,10000,10000,8,unified,10.9221,2.60028,0.407886,,,,,,,,,,,,40,143.844,10486291,"[100, 100]","[10, 10]",10
