n_train,n_test,batch,pred_unknown,sig2e,beta,sig2b0,q0,experiment,exp_type,mse,mae,r2,frobenius,spearman,nrmse,auc_embed,metric_pre_post,sig2e_est,sig2b_est0,nll_train,nll_test,n_epochs,time,n_params,encoder,decoder,patience
10000,100000,1000,FALSE,1,0.001,1,1000,3,lmmnn,2.97212,1.32264,0.353506,,,,,,2.5267,0.926214,1987.65,1947.82,533,437.77,233,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,3,tabnet,4.21873,1.60101,0.0823449,,,,,,,,,,45,63.0124,46419,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,4,lmmnn,3.14137,1.37822,0.325202,,,,,,2.29843,1.27106,2006.67,1986.66,376,322.855,233,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,4,tabnet,4.26909,1.61847,0.082956,,,,,,,,,,50,67.5519,46419,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,lmmnn,3.8557,1.53141,0.330453,,,,,,2.47973,1.94646,2122.87,2107.19,362,308.102,233,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,5,tabnet,5.4248,1.82231,0.0579783,,,,,,,,,,49,65.252,46419,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,6,lmmnn,3.17839,1.39348,0.430405,,,,,,2.41458,2.03634,2035.47,1979.34,406,338.105,233,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,6,tabnet,4.65236,1.69443,0.166258,,,,,,,,,,54,70.6233,46419,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,7,lmmnn,4.15987,1.57992,0.390695,,,,,,2.89076,2.56362,2176.86,2130.94,489,416.169,233,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,7,tabnet,5.99002,1.91419,0.122628,,,,,,,,,,56,73.0577,46419,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,8,lmmnn,3.40788,1.45033,0.299293,,,,,,2.75868,0.967149,2044.31,2020.74,543,452.105,233,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,8,tabnet,4.53473,1.67701,0.067597,,,,,,,,,,49,64.6197,46419,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,9,lmmnn,3.35161,1.42158,0.411189,,,,,,2.22273,1.88447,2084.27,2029.83,310,274.026,233,"[100, 100]","[10, 10]",10
10000,100000,1000,FALSE,1,0.001,1,1000,9,tabnet,6.45471,2.00568,-0.133964,,,,,,,,,,27,45.7076,46419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,0,tabnet,7.06716,2.11357,-0.187048,,,,,,,,,,23,189.759,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,1,tabnet,4.03105,1.58307,0.0835992,,,,,,,,,,33,257.02,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,2,tabnet,5.06046,1.76724,0.00115719,,,,,,,,,,48,365.289,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,3,tabnet,5.72215,1.8729,0.0543984,,,,,,,,,,42,321.081,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,4,tabnet,6.78723,2.07662,-0.179964,,,,,,,,,,17,141.686,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,5,tabnet,5.28013,1.82462,-0.0620435,,,,,,,,,,28,220.749,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,6,tabnet,4.20641,1.61554,0.109174,,,,,,,,,,35,270.865,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,7,tabnet,4.96011,1.75922,0.0712014,,,,,,,,,,53,400.372,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,8,tabnet,5.25953,1.79551,0.0069119,,,,,,,,,,48,364.726,136419,"[100, 100]","[10, 10]",10
100000,100000,10000,FALSE,1,0.001,1,10000,9,tabnet,4.84143,1.73124,0.210616,,,,,,,,,,59,443.846,136419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,0,tabnet,3.63827,1.49709,0.302313,,,,,,,,,,30,2244.27,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,1,tabnet,4.25101,1.59402,0.288128,,,,,,,,,,26,1950.73,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,2,tabnet,4.04894,1.58304,0.152698,,,,,,,,,,14,1087.52,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,3,tabnet,4.93648,1.73879,0.199764,,,,,,,,,,22,1663.02,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,4,tabnet,5.00875,1.74826,0.119712,,,,,,,,,,14,1088.32,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,5,tabnet,4.91932,1.71662,0.272527,,,,,,,,,,19,1447.02,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,6,tabnet,3.8525,1.5027,0.416609,,,,,,,,,,22,1663.63,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,7,tabnet,4.10958,1.57932,0.237799,,,,,,,,,,20,1519.43,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,8,tabnet,4.53113,1.66856,0.214592,,,,,,,,,,21,1590.9,1036419,"[100, 100]","[10, 10]",10
1000000,1000000,10000,FALSE,1,0.001,1,100000,9,tabnet,4.89723,1.72134,0.110117,,,,,,,,,,14,1086.96,1036419,"[100, 100]","[10, 10]",10
100000,100000,1000,FALSE,1,0.001,1,10000,0,lmmnn,3.32197,1.43176,0.316744,,,,,,3.01409,0.889296,2044.23,2044.84,145,8346.16,233,"[100, 100]","[10, 10]",10
100000,100000,1000,FALSE,1,0.001,1,10000,1,lmmnn,4.51854,1.65953,0.255888,,,,,,4.13552,0.924445,2189.92,2191.67,194,11226.7,233,"[100, 100]","[10, 10]",10
100000,100000,1000,FALSE,1,0.001,1,10000,2,lmmnn,3.71533,1.49927,0.439017,,,,,,3.3593,2.24935,2126.4,2129.47,153,8844.04,233,"[100, 100]","[10, 10]",10
1000000,1000000,1000,FALSE,1,0.001,1,100000,0,lmmnn,3.51782,1.46402,0.382963,,,,,,2.47981,2.24194,2103.71,2106.01,10,36236.6,233,"[100, 100]","[10, 10]",10
1000000,1000000,1000,FALSE,1,0.001,1,100000,1,lmmnn,3.50743,1.46327,0.381528,,,,,,2.27183,2.18476,2099.52,2102.51,10,36524.2,233,"[100, 100]","[10, 10]",10
